Country name,Period,Avg_Pillar_1_Score,Avg_Pillar_2_Score,Avg_Pillar_3_Score,Avg_Total_Index_Average,Avg_Overall_Rank,Avg_Overall_Rank_Rolling_Avg_(3y),Avg_Total_Index_Normalized,Avg_Pillar_1_Normalized,Avg_Pillar_1_Rank,Avg_Pillar_2_Normalized,Avg_Pillar_2_Rank,Avg_Pillar_3_Normalized,Avg_Pillar_3_Rank,Total_Yes_Votes,Total_No_Votes,Total_Abstain_Votes,Total_Total_Votes_in_Year
BEL,1955-1959,83.8875,97.4503,84.4377,89.4443,34.8000,33.8667,0.5042,0.4194,22.3333,0.6445,17.2000,0.4355,21.8000,77,8,19,104
BEL,1960-1964,67.3663,88.5361,67.3871,74.4298,92.5000,79.7500,0.1754,0.2160,69.7500,0.2838,67.0000,0.1278,58.7500,45,16,35,96
BEL,1965-1969,80.7586,98.0741,69.1537,83.5359,96.4000,95.0667,0.2858,0.4391,69.0000,0.6778,23.2000,0.1123,87.6000,67,21,51,139
BEL,1970-1974,83.2078,98.5760,72.6136,84.7991,111.4000,106.6667,0.2982,0.4328,74.0000,0.6534,29.2000,0.0819,102.6000,211,20,129,360
BEL,1975-1979,81.8841,97.9330,64.3268,81.3813,135.8000,133.0000,0.0974,0.1329,126.2000,0.6065,49.2000,0.0099,123.6000,235,75,197,507
BEL,1980-1984,86.4115,97.2057,58.8351,80.8174,142.8000,141.2666,0.0583,0.1692,137.6000,0.5611,66.6000,0.0061,137.6000,289,149,274,712
BEL,1985-1989,89.7376,97.3882,58.9898,82.0385,146.6000,146.8667,0.0412,0.1934,144.2000,0.5307,79.0000,0.0028,136.2000,288,129,282,699
BEL,1990-1994,86.9507,99.5615,77.7971,88.1031,136.2000,136.5333,0.2233,0.1523,138.2000,0.7270,16.2000,0.1436,114.8000,293,57,112,462
BEL,1995-1999,88.7979,97.4614,79.4609,88.5734,141.6000,144.1333,0.2900,0.3066,132.2000,0.6434,42.0000,0.1638,140.0000,225,45,91,361
BEL,2000-2004,91.2398,99.4708,80.2570,90.3226,145.6000,141.2667,0.3253,0.3537,135.2000,0.6764,33.0000,0.2035,132.0000,227,56,74,357
BEL,2005-2009,88.8155,98.9172,84.3386,90.6904,146.2000,146.8667,0.3155,0.2458,157.4000,0.6491,50.4000,0.2600,131.0000,380,62,79,521
BEL,2010-2014,89.6063,98.4142,79.6764,89.2323,158.6000,157.4667,0.2685,0.2900,161.2000,0.6364,57.2000,0.1665,144.0000,226,61,69,356
BEL,2015-2019,88.4509,99.4547,79.5195,89.1417,142.2000,147.6000,0.2948,0.2485,165.4000,0.7773,18.8000,0.1842,147.0000,331,83,95,509
BEL,2020-2024,89.7086,98.8602,81.2636,89.9441,136.4000,136.5333,0.3367,0.2780,158.0000,0.7464,28.8000,0.2336,140.6000,331,96,68,495
BEL,2025-2029,88.7785,99.9974,99.5132,96.0964,29.0000,95.6667,0.7138,0.5558,68.0000,0.7277,2.0000,0.7291,1.0000,10,0,0,10
BEN,1960-1964,65.6250,97.5145,93.3362,92.6736,26.0000,14.5833,0.7050,0.2842,78.0000,0.6522,27.2500,0.6794,13.5000,67,4,8,79
BEN,1965-1969,83.0241,95.4872,94.8020,93.6099,30.6000,31.3333,0.6569,0.5242,57.5000,0.5559,47.2000,0.7094,17.0000,114,2,10,126
BEN,1970-1974,83.7936,96.2293,95.3955,91.8062,57.6000,51.2667,0.5454,0.4525,70.6000,0.4931,64.2000,0.6110,38.2000,262,7,20,289
BEN,1975-1979,87.9345,96.9584,95.8674,93.5868,77.4000,81.6000,0.4939,0.3583,94.0000,0.5593,59.2000,0.6173,46.4000,455,5,30,490
BEN,1980-1984,94.8145,97.5081,97.1317,96.4848,51.2000,54.3334,0.6432,0.5853,59.8000,0.5888,57.0000,0.6597,40.2000,646,4,29,679
BEN,1985-1989,96.1390,97.8469,97.5485,97.1781,54.2000,55.7333,0.6379,0.5481,73.8000,0.6059,56.6000,0.6504,43.2000,642,4,29,675
BEN,1990-1994,95.2346,97.2183,96.4746,96.3092,68.4000,58.9333,0.6141,0.5572,73.6000,0.5336,78.2000,0.6454,46.8000,326,1,22,349
BEN,1995-1999,92.9618,97.1875,95.1373,95.0955,75.0000,77.4667,0.5732,0.4895,88.2000,0.5405,80.8000,0.6208,56.8000,320,5,28,353
BEN,2000-2004,93.2035,98.3590,96.2443,95.9356,81.0000,79.3333,0.5872,0.4542,98.8000,0.5957,64.4000,0.6442,45.4000,316,6,16,338
BEN,2005-2009,95.7082,98.5517,96.7736,97.0111,48.0000,47.8667,0.6733,0.6312,60.6000,0.6168,60.6000,0.6803,44.2000,411,1,25,437
BEN,2010-2014,93.3949,97.7226,96.9831,96.0335,66.6000,73.4667,0.6208,0.4613,114.4000,0.5931,67.8000,0.6989,35.6000,308,0,20,328
BEN,2015-2019,95.7357,98.6388,98.2680,97.5475,28.8000,34.6000,0.7308,0.6228,59.6000,0.6830,43.0000,0.7709,18.0000,381,0,16,397
BEN,2020-2024,93.4341,98.5576,97.4225,96.4714,43.2000,32.0667,0.6858,0.4765,102.2000,0.7135,34.8000,0.7611,20.8000,232,0,13,245
BFA,1960-1964,69.7917,95.9356,90.2563,90.6154,33.2500,33.1667,0.6064,0.3585,66.0000,0.5410,38.7500,0.5667,24.2500,60,3,11,74
BFA,1965-1969,76.8149,94.2442,93.3778,92.0743,42.0000,31.7334,0.6177,0.2923,92.5000,0.5069,57.0000,0.6674,28.8000,113,1,18,132
BFA,1970-1974,85.0255,96.7484,95.6604,92.4781,55.2000,65.1333,0.5493,0.4945,64.0000,0.5217,56.4000,0.6230,36.4000,266,6,20,292
BFA,1975-1979,93.4616,98.0569,97.9267,96.4817,38.2000,40.3333,0.6773,0.6777,36.4000,0.6168,46.2000,0.7301,21.8000,423,0,17,440
BFA,1980-1984,96.9238,97.6909,97.5752,97.3966,31.0000,30.6667,0.7188,0.7173,24.2000,0.5946,57.8000,0.6869,33.8000,663,1,30,694
BFA,1985-1989,96.6175,98.6196,97.9036,97.7136,37.8000,41.2667,0.6921,0.5942,62.4000,0.6661,38.8000,0.6671,32.0000,695,2,27,724
BFA,1990-1994,97.0903,99.4455,97.0351,97.8570,31.8000,31.2000,0.7149,0.7024,28.8000,0.7140,21.4000,0.6689,34.8000,337,0,13,350
BFA,1995-1999,95.5805,99.2620,95.9298,96.9241,30.4000,24.8000,0.7003,0.6602,41.4000,0.7331,20.8000,0.6644,44.8000,315,2,26,343
BFA,2000-2004,96.2399,99.5605,97.2923,97.6976,26.8000,32.1333,0.7033,0.6563,34.8000,0.6854,22.8000,0.6880,27.2000,331,2,18,351
BFA,2005-2009,96.3972,99.0300,96.9572,97.4615,31.6000,32.0000,0.7077,0.6702,44.8000,0.6636,41.2000,0.6910,35.0000,459,0,29,488
BFA,2010-2014,96.1632,99.0851,97.3917,97.5467,20.6000,21.4000,0.7337,0.6476,42.4000,0.6997,26.8000,0.7137,32.6000,317,0,22,339
BFA,2015-2019,97.4068,99.0176,98.3988,98.2744,8.4000,9.9333,0.7891,0.7582,18.6000,0.7223,27.6000,0.7775,13.0000,398,0,11,409
BFA,2020-2024,97.6426,98.7932,97.9820,98.1393,9.4000,6.8667,0.8182,0.8181,10.6000,0.7440,30.6000,0.7940,12.6000,334,5,3,342
BFA,2025-2029,87.3911,86.4503,86.8824,86.9079,148.0000,59.6667,0.3260,0.5103,85.0000,0.1971,78.0000,0.3333,14.0000,7,2,0,9
BGD,1970-1974,,92.8658,91.9841,92.4249,62.0000,62.0000,0.5425,,,0.4158,94.0000,0.4985,71.0000,42,1,7,50
BGD,1975-1979,96.3926,98.8690,97.7802,98.0041,15.8000,21.7667,0.7969,0.7979,15.0000,0.6923,28.0000,0.7200,27.2000,482,7,12,501
BGD,1980-1984,95.1544,98.6682,96.9458,96.9228,48.6000,41.1333,0.6713,0.5817,63.0000,0.6822,31.4000,0.6456,50.0000,679,12,30,721
BGD,1985-1989,97.4374,99.2365,97.8527,98.1755,22.0000,31.6000,0.7451,0.6822,36.4000,0.7320,18.6000,0.6609,36.8000,654,5,22,681
BGD,1990-1994,96.9206,99.3965,97.0685,97.7952,32.0000,29.2000,0.7215,0.6899,31.6000,0.7157,15.6000,0.6708,33.2000,344,4,13,361
BGD,1995-1999,96.4795,99.6573,96.0923,97.4097,17.0000,17.2667,0.7348,0.7246,23.4000,0.7731,11.6000,0.6658,38.0000,327,6,18,351
BGD,2000-2004,96.4369,99.6033,97.3234,97.7879,28.6000,23.0000,0.7091,0.6730,30.2000,0.6908,24.4000,0.6882,27.8000,434,7,17,458
BGD,2005-2009,96.1937,99.2436,96.4023,97.2799,41.0000,38.0667,0.6913,0.6579,52.4000,0.6868,33.0000,0.6561,52.0000,364,15,14,393
BGD,2010-2014,94.9478,99.4006,95.9334,96.7606,51.4000,55.2000,0.6686,0.5562,83.4000,0.7333,16.4000,0.6385,60.6000,325,11,21,357
BGD,2015-2019,95.9488,99.4491,96.4929,97.2969,36.8000,39.5333,0.7118,0.6399,52.4000,0.7685,10.8000,0.6774,55.4000,421,4,33,458
