Country name,Year,Pillar 1 Score Normalized,Pillar 2 Score Normalized,Pillar 3 Score Normalized
AFG,1946,,88.84429989124664,63.67348150331735
AFG,1947,,86.05154158674326,70.3393907384548
AFG,1948,,99.94252622621718,90.57315048526794
AFG,1949,61.1112,99.92739620449697,80.88263291388003
AFG,1950,61.1112,97.00456033070775,93.82519299150654
AFG,1951,29.16659999999999,77.21906139031698,28.78659469020027
AFG,1952,40.83340000000001,97.96526593805628,90.76926383796697
AFG,1953,0.0,93.74845780399413,79.52816109954493
AFG,1954,,88.71625319735946,81.11927908895316
AFG,1955,,62.322184165873786,55.193933178162226
AFG,1956,,91.30541624314452,81.53566171879638
AFG,1957,46.7482,90.08333697198509,79.68384398548187
AFG,1958,28.566399999999984,75.38081452319615,52.1824263602549
AFG,1959,55.2858,81.38743314612047,69.55033132511622
AFG,1960,46.39539999999999,99.90190871824346,93.57390996390941
AFG,1961,50.724999999999994,88.36541947223641,74.49042258537993
AFG,1962,45.72919999999999,99.67597383013961,90.98810013654239
AFG,1963,44.8484,92.6048718669939,91.13538986229075
AFG,1965,,96.16012233993402,94.50933790248786
AFG,1966,,93.18803773772666,91.69619626074478
AFG,1967,,97.9875040236719,92.23509855821885
AFG,1968,59.2858,96.082847531014,94.16787958066952
AFG,1969,70.303,98.29944648491009,95.87169109895127
AFG,1970,80.20400000000001,98.47450794427682,91.29332457169293
AFG,1971,86.8382,98.6271282304881,97.95995029611478
AFG,1972,81.6096,95.65372355927163,96.42011246834653
AFG,1973,77.35040000000001,95.71810230940996,95.90393311674886
AFG,1974,81.97120000000001,97.22663655555408,95.41109084469993
AFG,1975,84.19900000000001,99.23984333827175,96.333007842487
AFG,1976,87.7772,99.96456122429292,98.77029967676097
AFG,1977,91.5992,98.8780428859958,98.3607748729255
AFG,1978,80.4368,90.22031951762646,90.86834407043703
AFG,1979,77.52019999999999,93.54384710757647,93.90124321126403
AFG,1980,75.44800000000001,88.03560530748976,88.81683053800158
AFG,1981,75.7852,89.61796187437614,91.66641077763653
AFG,1982,82.72380000000001,90.86441165031981,92.56478598465075
AFG,1983,85.64320000000002,92.13056091763075,93.84402642412479
AFG,1984,88.19640000000001,93.38249405715086,95.3335052907616
AFG,1985,89.45740000000002,93.01937353586578,93.88322862354221
AFG,1986,87.96520000000001,95.40280890376393,95.34333142951895
AFG,1987,86.113,95.89712397580416,97.48839799137346
AFG,1988,87.03620000000001,98.46090107910564,97.47161167099631
AFG,1989,90.48240000000001,97.78989984737971,97.49894061941522
AFG,1990,92.03020000000001,98.80097116461565,98.32372214136129
AFG,1991,94.6498,99.24156958236063,98.41287387946193
AFG,1992,90.365,98.6031639007836,96.98624135862745
AFG,1993,88.38380000000001,99.01197911853916,95.69625357988753
AFG,1994,88.1342,99.0816381447141,95.46718172010654
AFG,1995,87.18780000000001,97.03512500545799,94.11567821852104
AFG,1996,91.07140000000001,97.43612135292858,93.23142808597052
AFG,1997,91.934,97.44333096059393,96.42134073569119
AFG,1998,91.23159999999999,98.6285498432672,97.42463044506266
AFG,1999,87.38939999999998,97.97267863326148,92.26293928469805
AFG,2000,88.9888,98.17911711753793,98.1129719361383
AFG,2001,85.17099999999999,99.95471147860928,97.19422796232494
AFG,2002,84.5206,97.26156761241148,99.5680593171243
AFG,2003,92.33060000000002,99.88952037831146,97.86977500189357
AFG,2004,93.6592,99.82991418536002,99.55935909009956
AFG,2005,95.6792,97.52009805066426,97.46137610979072
AFG,2006,96.40559999999999,97.09351267317021,98.67961260447947
AFG,2007,95.48240000000001,98.60732719535092,97.87059384679003
AFG,2008,94.82,99.18541587758696,96.92667039241095
AFG,2009,94.99719999999999,97.5161378436368,98.11246015807802
AFG,2010,95.0728,98.40809831873979,97.55103962595166
AFG,2011,94.57700000000001,97.4731848289546,98.240711739984
AFG,2012,94.338,98.44932508933312,97.05758322023037
AFG,2013,94.57939999999999,98.14256136036157,98.77807870327722
AFG,2014,93.05019999999999,98.5844798471157,96.58736153844578
AFG,2015,93.22460000000001,99.8165104077287,98.19147869058513
AFG,2016,94.3518,99.68480813812388,98.26251348535187
AFG,2017,94.00380000000001,99.2589335670194,97.95626549408077
AFG,2018,93.3776,99.30026188138267,96.50998069573156
AFG,2019,91.97040000000001,98.73161676975052,97.4565653960241
AFG,2020,92.80779999999999,99.27396204496968,97.58983240292082
AFG,2021,92.9092,98.25791508300696,98.95382328917712
AFG,2022,94.376,97.05076274602787,98.65289778973292
AFG,2023,95.25040000000001,97.28715664243494,99.37010356340828
AGO,1976,,99.94110461343809,99.76151142390985
AGO,1977,,99.96080410480535,99.91545426444188
AGO,1978,,92.74490072573333,92.57123438821027
AGO,1979,77.84479999999999,96.18703143896661,96.29851400122416
AGO,1980,78.8152,94.31649365300667,93.80083235583723
AGO,1981,77.4664,97.48882256952449,97.50876675817258
AGO,1982,83.7978,96.95835791538762,96.98982380504941
AGO,1983,83.5446,96.08091819938527,96.21877897943267
AGO,1984,91.18180000000001,97.82015989082014,97.49842884135494
AGO,1985,94.14299999999999,95.4337797535939,95.55418399035399
AGO,1986,89.95459999999999,94.00455119176846,93.98241121162431
AGO,1987,90.20920000000002,95.90595828378844,96.11079380871374
AGO,1988,92.00200000000001,96.55553378005823,96.35675434448396
AGO,1989,91.04920000000001,97.6640871164311,97.41500901752941
AGO,1990,92.77860000000001,97.99095651184965,98.0932173030115
AGO,1991,91.055,98.14966942425698,98.16425209777826
AGO,1992,89.74619999999999,96.46455056219708,94.20902653671598
AGO,1993,88.96039999999999,97.96821070738436,95.97210195437805
