Year,Country,TopicTag,YesVotes_Topic,NoVotes_Topic,AbstainVotes_Topic,TotalVotes_Topic
1946,CHL,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,CHL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,CHL,SOCIAL CONDITIONS AND EQUITY,3,0,2,5
1946,CHL,SOCIAL DEVELOPMENT,1,0,2,3
1946,CHN,DISCRIMINATION,2,0,0,2
1946,CHN,GENERAL AND NATIONAL LAW,1,1,0,2
1946,CHN,HUMAN RIGHTS,4,0,0,4
1946,CHN,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,CHN,INTERNATIONAL LAW,1,0,0,1
1946,CHN,INTERNATIONAL RELATIONS,6,0,1,7
1946,CHN,POLITICAL AND LEGAL QUESTIONS,20,1,1,22
1946,CHN,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,CHN,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,CHN,SOCIAL CONDITIONS AND EQUITY,4,0,1,5
1946,CHN,SOCIAL DEVELOPMENT,2,0,1,3
1946,COL,DISCRIMINATION,1,0,0,1
1946,COL,GENERAL AND NATIONAL LAW,1,1,0,2
1946,COL,HUMAN RIGHTS,1,0,2,3
1946,COL,HUMANITARIAN AID AND RELIEF,1,0,3,4
1946,COL,INTERNATIONAL LAW,0,0,1,1
1946,COL,INTERNATIONAL RELATIONS,4,0,3,7
1946,COL,POLITICAL AND LEGAL QUESTIONS,7,1,12,20
1946,COL,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,COL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,COL,SOCIAL CONDITIONS AND EQUITY,2,0,2,4
1946,COL,SOCIAL DEVELOPMENT,1,0,2,3
1946,CRI,DISCRIMINATION,0,1,0,1
1946,CRI,GENERAL AND NATIONAL LAW,2,0,0,2
1946,CRI,HUMAN RIGHTS,0,1,2,3
1946,CRI,HUMANITARIAN AID AND RELIEF,1,0,3,4
1946,CRI,INTERNATIONAL LAW,0,0,1,1
1946,CRI,INTERNATIONAL RELATIONS,3,1,1,5
