Period,Country1_ISO3,Country2_ISO3,CosineSimilarity
1945-1949,AFG,TCD,0.000000
1945-1949,AFG,TGO,0.000000
1945-1949,AFG,THA,0.605228
1945-1949,AFG,TJK,0.000000
1945-1949,AFG,TKM,0.000000
1945-1949,AFG,TLS,0.000000
1945-1949,AFG,TON,0.000000
1945-1949,AFG,TTO,0.000000
1945-1949,AFG,TUN,0.000000
1945-1949,AFG,TUR,0.509510
1945-1949,AFG,TUV,0.000000
1945-1949,AFG,TZA,0.000000
1945-1949,AFG,UGA,0.000000
1945-1949,AFG,UKR,-0.069886
1945-1949,AFG,URY,0.461069
1945-1949,AFG,USA,0.232263
1945-1949,AFG,UZB,0.000000
1945-1949,AFG,VCT,0.000000
1945-1949,AFG,VEN,0.533426
1945-1949,AFG,VNM,0.000000
1945-1949,AFG,VUT,0.000000
1945-1949,AFG,WSM,0.000000
1945-1949,AFG,YEM,0.617213
1945-1949,AFG,ZAF,0.061314
1945-1949,AFG,ZMB,0.000000
1945-1949,AFG,ZWE,0.000000
1945-1949,AGO,ALB,0.000000
1945-1949,AGO,AND,0.000000
1945-1949,AGO,ARE,0.000000
1945-1949,AGO,ARG,0.000000
1945-1949,AGO,ARM,0.000000
1945-1949,AGO,ATG,0.000000
1945-1949,AGO,AUS,0.000000
1945-1949,AGO,AUT,0.000000
1945-1949,AGO,AZE,0.000000
1945-1949,AGO,BDI,0.000000
1945-1949,AGO,BEL,0.000000
1945-1949,AGO,BEN,0.000000
1945-1949,AGO,BFA,0.000000
1945-1949,AGO,BGD,0.000000
1945-1949,AGO,BGR,0.000000
1945-1949,AGO,BHR,0.000000
1945-1949,AGO,BHS,0.000000
1945-1949,AGO,BIH,0.000000
1945-1949,AGO,BLR,0.000000
1945-1949,AGO,BLZ,0.000000
1945-1949,AGO,BOL,0.000000
1945-1949,AGO,BRA,0.000000
1945-1949,AGO,BRB,0.000000
1945-1949,AGO,BRN,0.000000
1945-1949,AGO,BTN,0.000000
1945-1949,AGO,BWA,0.000000
1945-1949,AGO,CAF,0.000000
1945-1949,AGO,CAN,0.000000
1945-1949,AGO,CHE,0.000000
1945-1949,AGO,CHL,0.000000
1945-1949,AGO,CHN,0.000000
1945-1949,AGO,CIV,0.000000
1945-1949,AGO,CMR,0.000000
1945-1949,AGO,COD,0.000000
1945-1949,AGO,COG,0.000000
1945-1949,AGO,COL,0.000000
1945-1949,AGO,COM,0.000000
1945-1949,AGO,CPV,0.000000
1945-1949,AGO,CRI,0.000000
1945-1949,AGO,CUB,0.000000
1945-1949,AGO,CYP,0.000000
1945-1949,AGO,CZE,0.000000
1945-1949,AGO,DEU,0.000000
1945-1949,AGO,DJI,0.000000
1945-1949,AGO,DMA,0.000000
1945-1949,AGO,DNK,0.000000
1945-1949,AGO,DOM,0.000000
1945-1949,AGO,DZA,0.000000
1945-1949,AGO,ECU,0.000000
1945-1949,AGO,EGY,0.000000
1945-1949,AGO,ERI,0.000000
1945-1949,AGO,ESP,0.000000
1945-1949,AGO,EST,0.000000
1945-1949,AGO,ETH,0.000000
1945-1949,AGO,FIN,0.000000
1945-1949,AGO,FJI,0.000000
1945-1949,AGO,FRA,0.000000
1945-1949,AGO,FSM,0.000000
1945-1949,AGO,GAB,0.000000
1945-1949,AGO,GBR,0.000000
1945-1949,AGO,GEO,0.000000
1945-1949,AGO,GHA,0.000000
1945-1949,AGO,GIN,0.000000
1945-1949,AGO,GMB,0.000000
1945-1949,AGO,GNB,0.000000
1945-1949,AGO,GNQ,0.000000
1945-1949,AGO,GRC,0.000000
1945-1949,AGO,GRD,0.000000
1945-1949,AGO,GTM,0.000000
1945-1949,AGO,GUY,0.000000
1945-1949,AGO,HND,0.000000
1945-1949,AGO,HRV,0.000000
1945-1949,AGO,HTI,0.000000
1945-1949,AGO,HUN,0.000000
1945-1949,AGO,IDN,0.000000
1945-1949,AGO,IND,0.000000
1945-1949,AGO,IRL,0.000000
1945-1949,AGO,IRN,0.000000
1945-1949,AGO,IRQ,0.000000
1945-1949,AGO,ISL,0.000000
1945-1949,AGO,ISR,0.000000
1945-1949,AGO,ITA,0.000000
1945-1949,AGO,JAM,0.000000
1945-1949,AGO,JOR,0.000000
1945-1949,AGO,JPN,0.000000
1945-1949,AGO,KAZ,0.000000
1945-1949,AGO,KEN,0.000000
1945-1949,AGO,KGZ,0.000000
1945-1949,AGO,KHM,0.000000
1945-1949,AGO,KIR,0.000000
1945-1949,AGO,KNA,0.000000
1945-1949,AGO,KOR,0.000000
1945-1949,AGO,KWT,0.000000
1945-1949,AGO,LAO,0.000000
1945-1949,AGO,LBN,0.000000
1945-1949,AGO,LBR,0.000000
1945-1949,AGO,LBY,0.000000
1945-1949,AGO,LCA,0.000000
1945-1949,AGO,LIE,0.000000
1945-1949,AGO,LKA,0.000000
1945-1949,AGO,LSO,0.000000
1945-1949,AGO,LTU,0.000000
1945-1949,AGO,LUX,0.000000
1945-1949,AGO,LVA,0.000000
1945-1949,AGO,MAR,0.000000
1945-1949,AGO,MCO,0.000000
1945-1949,AGO,MDA,0.000000
1945-1949,AGO,MDG,0.000000
1945-1949,AGO,MDV,0.000000
1945-1949,AGO,MEX,0.000000
1945-1949,AGO,MHL,0.000000
1945-1949,AGO,MKD,0.000000
1945-1949,AGO,MLI,0.000000
1945-1949,AGO,MLT,0.000000
1945-1949,AGO,MMR,0.000000
1945-1949,AGO,MNE,0.000000
1945-1949,AGO,MNG,0.000000
1945-1949,AGO,MOZ,0.000000
1945-1949,AGO,MRT,0.000000
1945-1949,AGO,MUS,0.000000
1945-1949,AGO,MWI,0.000000
1945-1949,AGO,MYS,0.000000
1945-1949,AGO,NAM,0.000000
1945-1949,AGO,NER,0.000000
1945-1949,AGO,NGA,0.000000
1945-1949,AGO,NIC,0.000000
1945-1949,AGO,NLD,0.000000
1945-1949,AGO,NOR,0.000000
1945-1949,AGO,NPL,0.000000
1945-1949,AGO,NRU,0.000000
1945-1949,AGO,NZL,0.000000
1945-1949,AGO,OMN,0.000000
1945-1949,AGO,PAK,0.000000
1945-1949,AGO,PAN,0.000000
1945-1949,AGO,PER,0.000000
1945-1949,AGO,PHL,0.000000
1945-1949,AGO,PLW,0.000000
1945-1949,AGO,PNG,0.000000
1945-1949,AGO,POL,0.000000
1945-1949,AGO,PRK,0.000000
1945-1949,AGO,PRT,0.000000
1945-1949,AGO,PRY,0.000000
1945-1949,AGO,QAT,0.000000
1945-1949,AGO,ROU,0.000000
1945-1949,AGO,RUS,0.000000
1945-1949,AGO,RWA,0.000000
1945-1949,AGO,SAU,0.000000
1945-1949,AGO,SDN,0.000000
1945-1949,AGO,SEN,0.000000
1945-1949,AGO,SGP,0.000000
1945-1949,AGO,SLB,0.000000
1945-1949,AGO,SLE,0.000000
1945-1949,AGO,SLV,0.000000
1945-1949,AGO,SMR,0.000000
1945-1949,AGO,SOM,0.000000
1945-1949,AGO,SRB,0.000000
1945-1949,AGO,SSD,0.000000
1945-1949,AGO,STP,0.000000
1945-1949,AGO,SUR,0.000000
1945-1949,AGO,SVK,0.000000
1945-1949,AGO,SVN,0.000000
1945-1949,AGO,SWE,0.000000
1945-1949,AGO,SWZ,0.000000
1945-1949,AGO,SYC,0.000000
1945-1949,AGO,SYR,0.000000
1945-1949,AGO,TCD,0.000000
1945-1949,AGO,TGO,0.000000
1945-1949,AGO,THA,0.000000
1945-1949,AGO,TJK,0.000000
1945-1949,AGO,TKM,0.000000
1945-1949,AGO,TLS,0.000000
1945-1949,AGO,TON,0.000000
1945-1949,AGO,TTO,0.000000
1945-1949,AGO,TUN,0.000000
1945-1949,AGO,TUR,0.000000
1945-1949,AGO,TUV,0.000000
1945-1949,AGO,TZA,0.000000
1945-1949,AGO,UGA,0.000000
1945-1949,AGO,UKR,0.000000
1945-1949,AGO,URY,0.000000
1945-1949,AGO,USA,0.000000
1945-1949,AGO,UZB,0.000000
1945-1949,AGO,VCT,0.000000
1945-1949,AGO,VEN,0.000000
1945-1949,AGO,VNM,0.000000
1945-1949,AGO,VUT,0.000000
1945-1949,AGO,WSM,0.000000
1945-1949,AGO,YEM,0.000000
1945-1949,AGO,ZAF,0.000000
1945-1949,AGO,ZMB,0.000000
1945-1949,AGO,ZWE,0.000000
1945-1949,ALB,AND,0.000000
1945-1949,ALB,ARE,0.000000
1945-1949,ALB,ARG,0.000000
1945-1949,ALB,ARM,0.000000
1945-1949,ALB,ATG,0.000000
1945-1949,ALB,AUS,0.000000
1945-1949,ALB,AUT,0.000000
1945-1949,ALB,AZE,0.000000
1945-1949,ALB,BDI,0.000000
1945-1949,ALB,BEL,0.000000
1945-1949,ALB,BEN,0.000000
1945-1949,ALB,BFA,0.000000
1945-1949,ALB,BGD,0.000000
1945-1949,ALB,BGR,0.000000
1945-1949,ALB,BHR,0.000000
1945-1949,ALB,BHS,0.000000
1945-1949,ALB,BIH,0.000000
1945-1949,ALB,BLR,0.000000
1945-1949,ALB,BLZ,0.000000
1945-1949,ALB,BOL,0.000000
1945-1949,ALB,BRA,0.000000
1945-1949,ALB,BRB,0.000000
1945-1949,ALB,BRN,0.000000
1945-1949,ALB,BTN,0.000000
1945-1949,ALB,BWA,0.000000
1945-1949,ALB,CAF,0.000000
1945-1949,ALB,CAN,0.000000
1945-1949,ALB,CHE,0.000000
1945-1949,ALB,CHL,0.000000
1945-1949,ALB,CHN,0.000000
1945-1949,ALB,CIV,0.000000
1945-1949,ALB,CMR,0.000000
1945-1949,ALB,COD,0.000000
1945-1949,ALB,COG,0.000000
1945-1949,ALB,COL,0.000000
1945-1949,ALB,COM,0.000000
1945-1949,ALB,CPV,0.000000
1945-1949,ALB,CRI,0.000000
1945-1949,ALB,CUB,0.000000
1945-1949,ALB,CYP,0.000000
1945-1949,ALB,CZE,0.000000
1945-1949,ALB,DEU,0.000000
1945-1949,ALB,DJI,0.000000
1945-1949,ALB,DMA,0.000000
1945-1949,ALB,DNK,0.000000
1945-1949,ALB,DOM,0.000000
1945-1949,ALB,DZA,0.000000
1945-1949,ALB,ECU,0.000000
1945-1949,ALB,EGY,0.000000
1945-1949,ALB,ERI,0.000000
1945-1949,ALB,ESP,0.000000
1945-1949,ALB,EST,0.000000
1945-1949,ALB,ETH,0.000000
1945-1949,ALB,FIN,0.000000
1945-1949,ALB,FJI,0.000000
1945-1949,ALB,FRA,0.000000
1945-1949,ALB,FSM,0.000000
1945-1949,ALB,GAB,0.000000
1945-1949,ALB,GBR,0.000000
1945-1949,ALB,GEO,0.000000
1945-1949,ALB,GHA,0.000000
1945-1949,ALB,GIN,0.000000
1945-1949,ALB,GMB,0.000000
1945-1949,ALB,GNB,0.000000
1945-1949,ALB,GNQ,0.000000
1945-1949,ALB,GRC,0.000000
1945-1949,ALB,GRD,0.000000
1945-1949,ALB,GTM,0.000000
1945-1949,ALB,GUY,0.000000
1945-1949,ALB,HND,0.000000
1945-1949,ALB,HRV,0.000000
1945-1949,ALB,HTI,0.000000
1945-1949,ALB,HUN,0.000000
1945-1949,ALB,IDN,0.000000
1945-1949,ALB,IND,0.000000
1945-1949,ALB,IRL,0.000000
1945-1949,ALB,IRN,0.000000
1945-1949,ALB,IRQ,0.000000
1945-1949,ALB,ISL,0.000000
1945-1949,ALB,ISR,0.000000
1945-1949,ALB,ITA,0.000000
1945-1949,ALB,JAM,0.000000
1945-1949,ALB,JOR,0.000000
1945-1949,ALB,JPN,0.000000
1945-1949,ALB,KAZ,0.000000
1945-1949,ALB,KEN,0.000000
1945-1949,ALB,KGZ,0.000000
1945-1949,ALB,KHM,0.000000
1945-1949,ALB,KIR,0.000000
1945-1949,ALB,KNA,0.000000
1945-1949,ALB,KOR,0.000000
1945-1949,ALB,KWT,0.000000
1945-1949,ALB,LAO,0.000000
1945-1949,ALB,LBN,0.000000
1945-1949,ALB,LBR,0.000000
1945-1949,ALB,LBY,0.000000
1945-1949,ALB,LCA,0.000000
1945-1949,ALB,LIE,0.000000
1945-1949,ALB,LKA,0.000000
1945-1949,ALB,LSO,0.000000
1945-1949,ALB,LTU,0.000000
1945-1949,ALB,LUX,0.000000
1945-1949,ALB,LVA,0.000000
1945-1949,ALB,MAR,0.000000
1945-1949,ALB,MCO,0.000000
1945-1949,ALB,MDA,0.000000
1945-1949,ALB,MDG,0.000000
1945-1949,ALB,MDV,0.000000
1945-1949,ALB,MEX,0.000000
1945-1949,ALB,MHL,0.000000
1945-1949,ALB,MKD,0.000000
1945-1949,ALB,MLI,0.000000
1945-1949,ALB,MLT,0.000000
1945-1949,ALB,MMR,0.000000
1945-1949,ALB,MNE,0.000000
1945-1949,ALB,MNG,0.000000
1945-1949,ALB,MOZ,0.000000
1945-1949,ALB,MRT,0.000000
1945-1949,ALB,MUS,0.000000
1945-1949,ALB,MWI,0.000000
1945-1949,ALB,MYS,0.000000
1945-1949,ALB,NAM,0.000000
1945-1949,ALB,NER,0.000000
1945-1949,ALB,NGA,0.000000
1945-1949,ALB,NIC,0.000000
1945-1949,ALB,NLD,0.000000
1945-1949,ALB,NOR,0.000000
1945-1949,ALB,NPL,0.000000
1945-1949,ALB,NRU,0.000000
1945-1949,ALB,NZL,0.000000
1945-1949,ALB,OMN,0.000000
1945-1949,ALB,PAK,0.000000
1945-1949,ALB,PAN,0.000000
1945-1949,ALB,PER,0.000000
1945-1949,ALB,PHL,0.000000
1945-1949,ALB,PLW,0.000000
1945-1949,ALB,PNG,0.000000
1945-1949,ALB,POL,0.000000
1945-1949,ALB,PRK,0.000000
1945-1949,ALB,PRT,0.000000
1945-1949,ALB,PRY,0.000000
1945-1949,ALB,QAT,0.000000
1945-1949,ALB,ROU,0.000000
1945-1949,ALB,RUS,0.000000
1945-1949,ALB,RWA,0.000000
1945-1949,ALB,SAU,0.000000
1945-1949,ALB,SDN,0.000000
1945-1949,ALB,SEN,0.000000
1945-1949,ALB,SGP,0.000000
1945-1949,ALB,SLB,0.000000
1945-1949,ALB,SLE,0.000000
1945-1949,ALB,SLV,0.000000
1945-1949,ALB,SMR,0.000000
1945-1949,ALB,SOM,0.000000
1945-1949,ALB,SRB,0.000000
1945-1949,ALB,SSD,0.000000
1945-1949,ALB,STP,0.000000
1945-1949,ALB,SUR,0.000000
1945-1949,ALB,SVK,0.000000
1945-1949,ALB,SVN,0.000000
1945-1949,ALB,SWE,0.000000
1945-1949,ALB,SWZ,0.000000
1945-1949,ALB,SYC,0.000000
1945-1949,ALB,SYR,0.000000
1945-1949,ALB,TCD,0.000000
1945-1949,ALB,TGO,0.000000
1945-1949,ALB,THA,0.000000
1945-1949,ALB,TJK,0.000000
1945-1949,ALB,TKM,0.000000
1945-1949,ALB,TLS,0.000000
1945-1949,ALB,TON,0.000000
1945-1949,ALB,TTO,0.000000
1945-1949,ALB,TUN,0.000000
1945-1949,ALB,TUR,0.000000
1945-1949,ALB,TUV,0.000000
1945-1949,ALB,TZA,0.000000
1945-1949,ALB,UGA,0.000000
1945-1949,ALB,UKR,0.000000
1945-1949,ALB,URY,0.000000
1945-1949,ALB,USA,0.000000
1945-1949,ALB,UZB,0.000000
1945-1949,ALB,VCT,0.000000
1945-1949,ALB,VEN,0.000000
1945-1949,ALB,VNM,0.000000
1945-1949,ALB,VUT,0.000000
1945-1949,ALB,WSM,0.000000
1945-1949,ALB,YEM,0.000000
1945-1949,ALB,ZAF,0.000000
1945-1949,ALB,ZMB,0.000000
1945-1949,ALB,ZWE,0.000000
1945-1949,AND,ARE,0.000000
1945-1949,AND,ARG,0.000000
1945-1949,AND,ARM,0.000000
1945-1949,AND,ATG,0.000000
1945-1949,AND,AUS,0.000000
1945-1949,AND,AUT,0.000000
1945-1949,AND,AZE,0.000000
1945-1949,AND,BDI,0.000000
1945-1949,AND,BEL,0.000000
1945-1949,AND,BEN,0.000000
1945-1949,AND,BFA,0.000000
1945-1949,AND,BGD,0.000000
1945-1949,AND,BGR,0.000000
1945-1949,AND,BHR,0.000000
1945-1949,AND,BHS,0.000000
1945-1949,AND,BIH,0.000000
1945-1949,AND,BLR,0.000000
1945-1949,AND,BLZ,0.000000
1945-1949,AND,BOL,0.000000
1945-1949,AND,BRA,0.000000
1945-1949,AND,BRB,0.000000
1945-1949,AND,BRN,0.000000
1945-1949,AND,BTN,0.000000
1945-1949,AND,BWA,0.000000
1945-1949,AND,CAF,0.000000
1945-1949,AND,CAN,0.000000
1945-1949,AND,CHE,0.000000
1945-1949,AND,CHL,0.000000
1945-1949,AND,CHN,0.000000
1945-1949,AND,CIV,0.000000
1945-1949,AND,CMR,0.000000
1945-1949,AND,COD,0.000000
1945-1949,AND,COG,0.000000
1945-1949,AND,COL,0.000000
1945-1949,AND,COM,0.000000
1945-1949,AND,CPV,0.000000
1945-1949,AND,CRI,0.000000
1945-1949,AND,CUB,0.000000
1945-1949,AND,CYP,0.000000
1945-1949,AND,CZE,0.000000
1945-1949,AND,DEU,0.000000
1945-1949,AND,DJI,0.000000
1945-1949,AND,DMA,0.000000
1945-1949,AND,DNK,0.000000
1945-1949,AND,DOM,0.000000
1945-1949,AND,DZA,0.000000
1945-1949,AND,ECU,0.000000
1945-1949,AND,EGY,0.000000
1945-1949,AND,ERI,0.000000
1945-1949,AND,ESP,0.000000
1945-1949,AND,EST,0.000000
1945-1949,AND,ETH,0.000000
1945-1949,AND,FIN,0.000000
1945-1949,AND,FJI,0.000000
1945-1949,AND,FRA,0.000000
1945-1949,AND,FSM,0.000000
1945-1949,AND,GAB,0.000000
1945-1949,AND,GBR,0.000000
1945-1949,AND,GEO,0.000000
1945-1949,AND,GHA,0.000000
1945-1949,AND,GIN,0.000000
1945-1949,AND,GMB,0.000000
1945-1949,AND,GNB,0.000000
1945-1949,AND,GNQ,0.000000
1945-1949,AND,GRC,0.000000
1945-1949,AND,GRD,0.000000
1945-1949,AND,GTM,0.000000
1945-1949,AND,GUY,0.000000
1945-1949,AND,HND,0.000000
1945-1949,AND,HRV,0.000000
1945-1949,AND,HTI,0.000000
1945-1949,AND,HUN,0.000000
1945-1949,AND,IDN,0.000000
1945-1949,AND,IND,0.000000
1945-1949,AND,IRL,0.000000
1945-1949,AND,IRN,0.000000
1945-1949,AND,IRQ,0.000000
1945-1949,AND,ISL,0.000000
1945-1949,AND,ISR,0.000000
1945-1949,AND,ITA,0.000000
1945-1949,AND,JAM,0.000000
1945-1949,AND,JOR,0.000000
1945-1949,AND,JPN,0.000000
1945-1949,AND,KAZ,0.000000
1945-1949,AND,KEN,0.000000
1945-1949,AND,KGZ,0.000000
1945-1949,AND,KHM,0.000000
1945-1949,AND,KIR,0.000000
1945-1949,AND,KNA,0.000000
1945-1949,AND,KOR,0.000000
1945-1949,AND,KWT,0.000000
1945-1949,AND,LAO,0.000000
1945-1949,AND,LBN,0.000000
1945-1949,AND,LBR,0.000000
1945-1949,AND,LBY,0.000000
1945-1949,AND,LCA,0.000000
1945-1949,AND,LIE,0.000000
1945-1949,AND,LKA,0.000000
1945-1949,AND,LSO,0.000000
1945-1949,AND,LTU,0.000000
1945-1949,AND,LUX,0.000000
1945-1949,AND,LVA,0.000000
1945-1949,AND,MAR,0.000000
1945-1949,AND,MCO,0.000000
1945-1949,AND,MDA,0.000000
1945-1949,AND,MDG,0.000000
1945-1949,AND,MDV,0.000000
1945-1949,AND,MEX,0.000000
1945-1949,AND,MHL,0.000000
1945-1949,AND,MKD,0.000000
1945-1949,AND,MLI,0.000000
1945-1949,AND,MLT,0.000000
1945-1949,AND,MMR,0.000000
1945-1949,AND,MNE,0.000000
1945-1949,AND,MNG,0.000000
1945-1949,AND,MOZ,0.000000
1945-1949,AND,MRT,0.000000
1945-1949,AND,MUS,0.000000
1945-1949,AND,MWI,0.000000
1945-1949,AND,MYS,0.000000
1945-1949,AND,NAM,0.000000
1945-1949,AND,NER,0.000000
1945-1949,AND,NGA,0.000000
1945-1949,AND,NIC,0.000000
1945-1949,AND,NLD,0.000000
1945-1949,AND,NOR,0.000000
1945-1949,AND,NPL,0.000000
1945-1949,AND,NRU,0.000000
1945-1949,AND,NZL,0.000000
1945-1949,AND,OMN,0.000000
1945-1949,AND,PAK,0.000000
1945-1949,AND,PAN,0.000000
1945-1949,AND,PER,0.000000
1945-1949,AND,PHL,0.000000
1945-1949,AND,PLW,0.000000
1945-1949,AND,PNG,0.000000
